,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.0173798012584,0.00781790892363,0.00390502903869
Cdh1,-0.00254091479107,0.00171836433943,0.000933409515974
Cdh5,0.0706001166402,0.0250256067667,0.0067020019057
Egfl7,-0.00186449189575,-0.00204728299539,0.00284806905697
Eif2b1,0.000214304110691,0.000233254848861,0.000124255346007
Erg,0.0381821251026,0.00172209148926,-0.00335008404599
Ets1,-0.0234836667466,-0.0184473611605,-0.0111384781609
Ets2,0.00149224373279,-0.00109731497465,-0.00244815867355
Etv2,0.0195627591881,-0.0125102542624,-0.0195918921591
Etv6,0.00892619912276,0.00415971074348,0.00103511081686
Fli1,-0.00724695316252,-0.00759685042505,-0.00808539241009
FoxH1,-0.0081489543368,-0.00809089572993,-0.0131610192514
FoxO4,-0.00366118301491,-0.00354964629975,-0.0062605438634
Gata1,-0.0379427076137,-0.0341435443655,-0.031284402348
Gfi1,-0.0247493681418,-0.0195611326157,-0.0103396398151
Gfi1b,-0.0336778966041,-0.0166860978288,-0.0115373650232
HbbbH1,0.00604968889647,0.00315763404332,0.00554919620796
Hhex,0.0299791460517,0.0110694617941,0.0150121491395
HoxB2,-3.44886493133e-05,-9.00687118741e-06,1.70422751349e-05
HoxB4,-0.0328864124739,-0.0298328782401,-0.0213752878706
HoxD8,-7.24227972323e-06,-1.51474524788e-05,0.0
Ikaros,-0.028429507864,-0.0269559244429,-0.0266956991159
Itga2b,0.0717002539154,0.0352732872229,0.02829638192
Kdr,-0.00799161690794,-0.00822556265339,-0.00628141249988
Kit,0.0160155679961,0.0099236146471,0.00124674079095
Ldb1,0.00151529413453,-0.000440476880804,-0.000460618256423
Lmo2,0.0100940845015,-0.0021168487991,-0.00675527508007
Lyl1,0.0145155221051,0.00971359152465,0.00995466639367
Mecom,0.0130736425841,0.0194514468218,0.0202346329459
Meis1,0.11482100997,0.069751077033,0.0546322000646
Mitf,0.00326345138563,-0.00143784981216,-0.00161741145934
Mrpl19,-5.58749640712e-06,-1.66354722691e-06,-7.37270760321e-05
Myb,-0.00723011063255,0.000793304850756,-0.00452555005469
Nfe2,0.0132027562824,0.00990703108057,-0.00484600874559
Notch1,0.00189537437215,-0.00984828187248,-0.0093361544588
Pecam1,0.031121330982,0.0131423812987,0.00519088293575
Polr2a,-0.000296986939597,-0.000495150878769,-0.000689711719508
Procr,0.0270009035497,-0.000405887124872,-0.000702139770129
Runx1,-0.00712723052956,-0.00246443279385,-0.0109122474826
Sfpi1,0.0435577589267,0.0321148861141,0.0335577962583
Sox17,0.0128790205156,0.00641279289634,0.00656504453857
Sox7,-0.0643282993238,-0.0798957833202,-0.0847208024953
Tal1,-0.00904306280373,-0.00846974438,-0.0119126451465
Tbx20,-0.0356612456309,-0.0336531355802,-0.0376225014339
Tbx3,-0.0713739871057,-0.0527288759026,-0.0337986791289
Ubc,8.16439255737e-05,0.000289635669615,0.000735771434059
