,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.000466103452709,-0.00421888301509,-0.00788916893849
Cdh1,-0.0174163140132,-0.00815902613017,-0.00684377255448
Cdh5,0.0424996115177,0.0254725361221,0.0127463452977
Egfl7,0.0081421551897,-0.00337872343331,0.00554856046061
Eif2b1,6.04209795639e-06,0.000221760598911,0.0006040037933
Erg,0.0232946058464,0.00758925269615,-0.0013220356336
Ets1,-0.00286617004927,-0.00794295107041,-0.00532852722841
Ets2,0.00389702567977,0.00157122716997,-0.00393905622955
Etv2,-0.000695305342444,0.000456329029915,0.0130468291781
Etv6,0.00269250538462,-0.00116881735847,0.0110836985727
Fli1,0.0186569455373,0.0161134478741,0.0139531632039
FoxH1,-0.0172625284029,-0.0254456098753,-0.0380728202097
FoxO4,-0.00361750518146,-0.00118824647407,-0.0060973651998
Gata1,-0.0179203987715,-0.00609776308407,-0.00102530386026
Gfi1,-0.00600573898665,-0.00431144562878,-0.000888300605846
Gfi1b,-0.0255823404528,0.000431143819822,0.0110225051817
HbbbH1,-0.0390450636778,0.00430287646415,0.0220699264052
Hhex,0.00285719845574,0.00480104444752,0.0176073454137
HoxB2,1.39660450064e-05,2.98988748058e-05,8.02048088443e-05
HoxB4,0.0225884986226,0.0167913670811,0.00863851279553
HoxD8,1.69157784224e-05,1.31956651944e-05,2.1956710062e-05
Ikaros,-0.0364770597882,-0.0191046599475,-0.0121377246302
Itga2b,0.0262632522159,0.0178556470796,0.00678285505107
Kdr,0.00294999279147,0.00738435863176,0.0140574677349
Kit,0.0183258079882,0.00563562272604,-0.00973563962259
Ldb1,-0.00299727660145,-0.0112714521182,-0.032349439557
Lmo2,-0.00180803999409,-0.00303524797607,-0.00484479697521
Lyl1,0.0247430826762,0.00626648890549,0.00837375015096
Mecom,0.00848249054751,0.0125165789948,0.0134593268034
Meis1,0.0173734075237,-0.0284309862619,-0.0375158468811
Mitf,-0.0114708944969,-0.00498638004264,-0.0136280658772
Mrpl19,0.000181114393237,0.000248083666324,0.000515319575104
Myb,-0.0324938529895,-0.00961988536641,5.90276068124e-05
Nfe2,-0.0188187620519,-0.000471467157474,0.0155708253222
Notch1,0.00139432363124,-0.00656506889297,-0.0132506852641
Pecam1,0.0268725547787,0.016465277443,0.0152732393379
Polr2a,-0.000492706317602,-0.00073212362279,-0.00101575182047
Procr,0.012502366733,0.00288470287743,0.0123211537688
Runx1,-0.0134991045081,-0.00730915810954,-0.0178192201723
Sfpi1,-0.0074670735935,-0.00446406144887,-0.00261697288672
Sox17,0.0278740415507,-0.0191678458396,-0.0181905374606
Sox7,-0.00243538179417,-0.00215453168323,0.02067069175
Tal1,-0.00684649299916,-0.00559115451392,-0.0114004122757
Tbx20,-0.0171096870192,-0.0185244398402,-0.0199916915203
Tbx3,-0.00821736882062,-0.00529547838602,-0.0248976534232
Ubc,0.000398722300101,0.000337064642438,-8.89845443483e-05
