,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.0306920795958,0.0247773046489,0.00277099191433
Cdh1,-0.0480766063075,-0.0589934897281,-0.0326827416866
Cdh5,-0.0506544557183,-0.0182170802219,-0.285994424176
Egfl7,-0.014449362037,-0.0072331064206,-0.071586076267
Eif2b1,0.000320436677771,0.000359960619841,0.000869256820153
Erg,-0.0250866540131,-0.0105216862019,-0.137274651594
Ets1,-0.0317257091703,-0.0290739435643,-0.114728800685
Ets2,-0.0024199849529,-0.0027723525264,-0.0158662987216
Etv2,-0.0453659640748,-0.0291789333112,-0.177457593901
Etv6,-0.0013225908127,-0.000348005013565,-0.0253439375822
Fli1,0.010702280444,0.0265631916378,-0.0974544759596
FoxH1,-0.00574658252514,-0.00784330970242,-0.00814526445834
FoxO4,-0.00365936199569,-0.00460677871777,-0.00487989694103
Gata1,0.0581771504057,0.0316253423749,0.130406843995
Gfi1,-0.00615992040216,-0.0138424637359,-0.0156304954832
Gfi1b,0.0620199910808,0.0340599194802,0.114826540505
HbbbH1,0.183315952089,0.176456543546,0.385592170549
Hhex,-0.0124258447916,-0.00461266628487,-0.0809396314469
HoxB2,-6.12720550978e-06,-2.73476290355e-05,-5.07920060341e-05
HoxB4,-0.018700248196,-0.0123287492628,-0.0989306938404
HoxD8,1.52541528922e-05,1.17822740695e-05,2.22120721003e-05
Ikaros,0.038013437536,0.0129788790692,0.0582877251879
Itga2b,0.0504654683538,0.0585454963684,0.0446020844529
Kdr,-0.0361388519214,-0.0190609159205,-0.17035379615
Kit,0.0144188333498,0.0193230029554,-0.0124934532456
Ldb1,0.00317661310995,0.00196501304325,0.00409257204945
Lmo2,-0.00700317979423,-0.00474883769699,-0.0420845989126
Lyl1,0.0513102137641,0.0467116949197,0.0176207543393
Mecom,-0.00712145890598,0.0047210557325,-0.0400963542297
Meis1,-0.0524781415691,-0.0384801544153,-0.188893105351
Mitf,0.00210752122465,0.00246169245345,0.0076140452753
Mrpl19,9.56833122683e-05,0.000214987780585,4.92281327074e-05
Myb,0.0278292254803,0.0206804060109,0.037548542264
Nfe2,0.065816083435,0.0529938322245,0.133506583348
Notch1,-0.0263131881224,-0.0188532727417,-0.092615724715
Pecam1,0.0292746835057,0.0386349462093,-0.0344745272952
Polr2a,-0.000225603123308,-0.000309972179811,-0.000673668023072
Procr,-0.00489042439888,-0.0106123719398,-0.0391859282822
Runx1,0.00393654498291,-0.00453725213972,0.0134204885967
Sfpi1,0.000155084412971,-0.00419884797318,-0.0305951400331
Sox17,-0.0162780626742,-0.0087711212242,-0.079653613263
Sox7,-0.0501532083261,-0.0396074934519,-0.173094193112
Tal1,0.0364821208066,0.0422614357183,-0.00337440718801
Tbx20,-0.0286009931224,-0.0254359635324,-0.0681443884454
Tbx3,-0.0416983071156,-0.0336691831409,-0.0654716261054
Ubc,-0.00024301014097,-0.000313265636999,-0.000374733766359
