,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.0185736967216,0.0201886902031,-0.00824390945799
Cdh1,-0.0653813343648,-0.0573627514714,-0.0318601730582
Cdh5,-0.0300006592696,-0.00794061568281,-0.254312263775
Egfl7,-0.00689540425918,-0.0034568868026,-0.0599487740576
Eif2b1,0.000448265071274,0.00032440117855,0.000737704501563
Erg,0.000598246613199,-0.00516666097558,-0.125213319583
Ets1,-0.0223907436123,-0.0213119590489,-0.101795078033
Ets2,-0.000582741674439,-0.0016509741798,-0.0139869374031
Etv2,-0.0219023095663,-0.0208034001641,-0.151998069778
Etv6,-7.48200652101e-05,-0.000487813939404,-0.0217994535871
Fli1,0.0508416710726,0.0362145552611,-0.08195481516
FoxH1,-0.00781362127861,-0.00903071773228,-0.0111433741532
FoxO4,-0.00453323744931,-0.00534173886824,-0.00669595936641
Gata1,0.0363153626485,0.0219518423655,0.104646809831
Gfi1,-0.00239615891987,-0.0131410971807,-0.0168685466263
Gfi1b,0.0458468230375,0.0218243858425,0.0825645839053
HbbbH1,0.150205530277,0.149898440522,0.318355756734
Hhex,-0.00366478749078,0.00286937615753,-0.0673260896205
HoxB2,-4.10508952635e-05,-2.85541558529e-05,-3.51154913618e-05
HoxB4,-0.00796589941307,-0.00844641866812,-0.0852822583036
HoxD8,2.01144190532e-05,1.79122182614e-05,4.24267142593e-05
Ikaros,0.025027750756,0.00352449896523,0.0284004327265
Itga2b,0.0394536563113,0.0541537480913,0.0282886399008
Kdr,-0.0025248290103,-0.00711739802593,-0.138137496531
Kit,0.0141059024423,0.0200318021803,-0.00691467605963
Ldb1,0.00281453095024,0.000903815881196,0.0034594484956
Lmo2,0.00504112209421,-0.00554204098663,-0.0394885547753
Lyl1,0.0507577351124,0.0435034023797,0.0102203312808
Mecom,-0.00536289856621,0.00823986210933,-0.0320146737009
Meis1,-0.053556712513,-0.0350647975941,-0.170878206431
Mitf,-0.00254426720156,-0.000528036292914,0.00490127870658
Mrpl19,0.000171131167242,0.000239345152214,7.24167425836e-05
Myb,0.0289596955869,0.00949503778447,0.0186557941025
Nfe2,0.0508352681047,0.0420746346432,0.102355913558
Notch1,-0.0145049374193,-0.0143510508142,-0.079806715834
Pecam1,0.0391971323236,0.0380007270225,-0.0358893249844
Polr2a,-0.000317510298475,-0.000354228212344,-0.000687606615789
Procr,0.0056149155838,-0.00737272240269,-0.0284052272905
Runx1,-0.00139267213661,-0.0127016792762,-0.00300634703666
Sfpi1,0.00524020289009,-0.00677824480576,-0.0372249526292
Sox17,-0.0187132394966,0.000936086896443,-0.0626741983647
Sox7,-0.021683181365,-0.0304654221579,-0.1490352655
Tal1,0.049873035358,0.0390730248784,-0.00704275735765
Tbx20,-0.0186750758228,-0.0230465236704,-0.0618741974516
Tbx3,-0.0225543895035,-0.0284803967414,-0.0535711986251
Ubc,-0.000375045021836,-0.000238648795487,-0.000210398569597
