,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.0337492138099,0.0283264384307,0.0119503787934
Cdh1,-0.0545653547632,-0.0616873145358,-0.037581355839
Cdh5,-0.0455991657469,-0.00766265414182,-0.252430616882
Egfl7,-0.0136690164472,-0.00433589458457,-0.064146214864
Eif2b1,0.000302330715672,0.000385912978977,0.000864692847834
Erg,-0.0227678553816,-0.00489554701312,-0.123650452433
Ets1,-0.0286189928106,-0.0243307042063,-0.105909793475
Ets2,-0.0030950329554,-0.00234206856863,-0.0143001131779
Etv2,-0.0368096624028,-0.0294878584735,-0.170765801273
Etv6,-0.00399127975588,0.0018335639861,-0.0214910134932
Fli1,0.0221839377329,0.032159444522,-0.0786466053722
FoxH1,-0.00524911607311,-0.00837131493769,-0.00859969810129
FoxO4,-0.004999822387,-0.00474141784962,-0.00542038012906
Gata1,0.0515997327416,0.0361384394753,0.126034917884
Gfi1,-0.00959517360703,-0.0120477212963,-0.0144120557241
Gfi1b,0.0447793846032,0.0423286581334,0.110463164882
HbbbH1,0.168424757444,0.178981775417,0.37873681341
Hhex,-0.0085942886742,0.00151147672198,-0.0679398998255
HoxB2,-3.20895376965e-05,-2.57548986877e-05,-4.51706224744e-05
HoxB4,-0.0188087828207,-0.0107559474785,-0.0977122141807
HoxD8,1.61832160991e-05,7.80151724043e-06,2.31614491074e-05
Ikaros,0.0265234468801,0.0180558909589,0.0571093488053
Itga2b,0.0531814268665,0.0619359634749,0.0515011913014
Kdr,-0.0305890662509,-0.0137926586442,-0.157122611559
Kit,0.0144441911416,0.0207419369842,-0.00898243580578
Ldb1,0.00388105054656,0.00261222008108,0.00450766388902
Lmo2,-0.000436922661305,-0.00388463090213,-0.0360022700693
Lyl1,0.0526274542489,0.0535458937638,0.0318934135847
Mecom,-0.00220931389366,0.00627964345904,-0.0337093063323
Meis1,-0.0446046244462,-0.0363882031605,-0.175348307762
Mitf,0.00101095572584,0.00263479764522,0.00929825701914
Mrpl19,0.00018751899382,0.000187807805034,2.58379177735e-05
Myb,0.0130011495775,0.0241109649442,0.0376208082605
Nfe2,0.0548146657786,0.0582767127664,0.132993817464
Notch1,-0.0243655747173,-0.0179774717376,-0.0869104249084
Pecam1,0.0354173811976,0.0440313223095,-0.0210930851443
Polr2a,-0.000273532400077,-0.000341555671667,-0.000698307319947
Procr,-0.0128702641823,-0.0040347145932,-0.033472218055
Runx1,-0.00608069657601,-0.00105230607573,0.0174116535119
Sfpi1,-0.00647432771725,0.00168707655852,-0.0194371581967
Sox17,-0.0036396050992,-0.00962996072009,-0.069447373188
Sox7,-0.0457360856193,-0.0371639076813,-0.16055332937
Tal1,0.0434196871357,0.0462942085505,0.00634819150781
Tbx20,-0.0258072489782,-0.0269102538422,-0.067844528688
Tbx3,-0.0414424040663,-0.0359573236503,-0.0673788246569
Ubc,-0.000254338811608,-0.000282038148706,-0.000315940961517
