,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,-0.000299591651172,0.000146761058378,0.0001489380593
Cdh1,0.000237538744637,-0.000142203948405,-0.000610781913795
Cdh5,-0.000556407280353,0.000663765633697,-0.00175248175358
Egfl7,-0.000114516825504,4.24882641776e-05,-0.000546371439228
Eif2b1,-4.84129700485e-06,7.24946178294e-08,6.9866600206e-06
Erg,-0.000287534754954,0.000169795574072,-0.000662798645278
Ets1,-0.00015931850873,2.39745011274e-06,-0.000573567285447
Ets2,-1.6956854537e-05,1.50975225944e-05,-8.53031679956e-05
Etv2,-0.000269321660978,0.000102792395417,-0.00104788480195
Etv6,-4.21812060491e-05,-1.18617491584e-05,7.1106985649e-05
Fli1,-0.000342584252994,0.000155053972297,-0.000182784547576
FoxH1,-8.93631927447e-07,-6.97140785692e-05,5.82100337294e-05
FoxO4,-3.5415245299e-05,2.60407167822e-05,-7.72073956237e-05
Gata1,0.000153555620889,-0.000141871407495,0.000928607577517
Gfi1,3.86712601958e-05,-7.51615669417e-06,-3.5169635623e-05
Gfi1b,0.000332754886722,-0.000369367798993,0.00111878488028
HbbbH1,0.000421579255788,6.37781335072e-05,0.00211419045061
Hhex,-0.000466103784001,0.00025141330852,-0.000734380358592
HoxB2,6.12967875283e-99,4.06477098867e-09,-7.91560666215e-09
HoxB4,-0.000275237438662,-3.9049491635e-05,-0.000360549808436
HoxD8,4.41022192965e-116,-8.46285829743e-116,3.03383039413e-09
Ikaros,-0.000220643624165,-0.000157615802188,0.000247816253537
Itga2b,0.000190405720769,3.78686990146e-05,0.0010002229358
Kdr,-0.000272564343056,0.000152123865044,-0.000394549263463
Kit,8.0333019035e-07,7.04509151766e-05,9.5654571028e-05
Ldb1,-7.73508890185e-06,-7.31156908027e-05,0.000133665882493
Lmo2,0.000226494940516,0.000100017713527,-0.00072193404723
Lyl1,-0.000248458812407,1.84612349521e-05,4.57140362425e-05
Mecom,9.31401955767e-05,0.000153382209524,0.000197448702497
Meis1,0.000534486704388,0.00048878462994,-0.00133898836097
Mitf,-0.000303976599372,-5.02235160751e-05,0.000353678118025
Mrpl19,-4.96402568333e-06,3.60364454075e-06,-1.15672854246e-05
Myb,-0.00036748063694,0.000187229714134,-5.11163268754e-05
Nfe2,-0.000392048769925,-0.000165009041152,0.000944498615689
Notch1,-6.48564735166e-05,-9.8271585445e-05,-0.000455244649487
Pecam1,-0.000104244231777,3.93214510412e-06,0.000506359411053
Polr2a,-8.62213466704e-08,-3.35220009352e-06,3.86215866948e-06
Procr,0.000166595903767,0.000236224303534,-0.000486939179412
Runx1,-0.000216013614647,-6.84501039888e-05,0.000205297261173
Sfpi1,0.00036929676474,-0.000412831585643,0.000219157509468
Sox17,0.000203502747892,0.0002115612181,-0.000498634997489
Sox7,-0.00034528938215,0.000113445184885,-0.00139135138473
Tal1,-0.000279821278664,3.27921322793e-05,0.000263770475315
Tbx20,-9.27002186405e-05,0.000102112148699,-0.000650459506454
Tbx3,0.000255080407018,-3.49012848426e-05,-0.000498347395372
Ubc,1.13663929434e-05,2.94162382157e-07,-2.09156286382e-06
