,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,-5.95850785923e-05,3.71243637724e-05,9.68953074522e-05
Cdh1,4.36351456759e-05,-1.41244456584e-05,-8.12539689323e-05
Cdh5,0.000121133260103,0.000198083628575,7.73692761437e-05
Egfl7,-3.20943747137e-05,1.97033928893e-05,3.17750557563e-05
Eif2b1,-3.88641839351e-07,-1.73429204383e-07,1.23046374374e-06
Erg,5.30350933988e-05,8.941268882e-05,-9.80433037825e-06
Ets1,-1.26155991831e-05,-8.38503302116e-06,-2.76102850545e-06
Ets2,-1.05730039863e-05,1.07655444956e-05,-6.22595127071e-06
Etv2,-2.95988769408e-05,8.39045951431e-05,-0.000126219741105
Etv6,-1.71875610673e-05,2.86227928972e-05,-4.91891468158e-05
Fli1,-0.000114659659778,7.39669916847e-05,9.15711654671e-05
FoxH1,8.05693307225e-06,-9.86834832474e-06,-1.36584436314e-05
FoxO4,4.15232516323e-06,-2.6517912797e-06,-1.21690914773e-05
Gata1,9.53022640448e-06,2.78284477664e-05,5.01290046246e-05
Gfi1,1.26884339384e-05,-4.59073479721e-06,-1.98194866168e-05
Gfi1b,4.37661827989e-05,-1.552617527e-05,0.000128424430992
HbbbH1,-0.000191146972583,-2.36844262755e-05,0.000475419381437
Hhex,-4.22479772093e-05,5.49653809827e-05,2.80691857139e-05
HoxB2,2.35935336214e-18,7.14983584576e-07,-1.33743988174e-06
HoxB4,3.56216823558e-05,7.45816998282e-05,1.30655742844e-05
HoxD8,2.51370079446e-94,-4.62426089546e-94,9.64047205302e-16
Ikaros,6.96701647648e-05,-1.73239432932e-05,1.16743509012e-05
Itga2b,1.80812407294e-05,0.000108400618507,0.000191438527711
Kdr,-4.69197845483e-05,4.80894130675e-05,-7.95128421792e-05
Kit,9.51459875733e-05,5.76659525086e-05,9.90094857396e-06
Ldb1,1.69231888547e-06,-6.48036361883e-06,2.6430343344e-05
Lmo2,-8.38975167623e-05,2.18693126169e-05,-4.35496426334e-05
Lyl1,-0.000125536288082,9.74237456276e-05,0.000217720128658
Mecom,-9.00488435766e-05,6.45777840945e-05,3.39508063234e-05
Meis1,-3.00400520256e-05,0.000158860450782,-0.000153160415594
Mitf,7.05110842449e-06,1.28013491327e-05,-2.73523501426e-05
Mrpl19,-1.14734052617e-07,1.13830694783e-06,5.89520157336e-07
Myb,-0.000111291334273,1.80884227797e-05,-4.71721415943e-05
Nfe2,3.6459921197e-05,-3.46637871305e-05,0.000136994665917
Notch1,-1.8781801603e-05,1.55505187597e-05,-9.11099956828e-05
Pecam1,0.000106245227944,4.36490960654e-05,0.000184743434144
Polr2a,1.08759919989e-06,-6.21146697478e-07,-1.32448976416e-06
Procr,3.07083626978e-05,-6.1047724771e-06,0.000123379839754
Runx1,-6.54164484708e-05,-4.0608990955e-06,7.82608755331e-06
Sfpi1,4.87029073764e-05,3.44157087318e-05,-1.14450894064e-05
Sox17,-0.000119674351678,0.000169498476738,-3.02526049458e-05
Sox7,-4.04236516874e-05,4.92988926183e-05,-0.000107083595546
Tal1,-5.18788470748e-05,6.54391415814e-05,-2.75283465662e-05
Tbx20,-4.65724016458e-06,-1.76991536821e-05,-7.00942731359e-05
Tbx3,5.647280186e-05,7.9973332007e-05,-0.000231994902343
Ubc,-6.77765455554e-07,-1.73608950571e-07,-6.10186829995e-07
