,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.0151231852463,0.00843133298421,0.0109927309016
Cdh1,-0.00219996744318,0.000432084729512,0.0
Cdh5,0.0675366528108,0.023271196291,0.0112260160911
Egfl7,-0.00319170213217,-0.000625425343627,0.00478050195347
Eif2b1,0.00025764043784,0.000227819262233,7.10146782211e-05
Erg,0.0350579437599,0.00189532749508,-0.00352794888541
Ets1,-0.0244215281573,-0.0190379394009,-0.0145646628162
Ets2,0.00149436657739,-0.00112142857697,-0.00142492615888
Etv2,0.0220928969378,-0.0086588502368,-0.00740875827793
Etv6,0.00837188470368,0.00445386916888,0.00134798358388
Fli1,-0.00931947725162,-0.0096254151716,-0.00863997689606
FoxH1,-0.00718100556004,-0.00651792501747,-0.0103375997445
FoxO4,-0.00334172863938,-0.00363995172306,-0.00742150130191
Gata1,-0.0369607193172,-0.0282692682836,-0.0359130026022
Gfi1,-0.0230728811636,-0.0163996524064,-0.00709302336724
Gfi1b,-0.0258945600973,-0.00845933398431,-0.0124077609906
HbbbH1,0.000712238772221,-0.00178493415921,-0.00089883047857
Hhex,0.0308512681603,0.00942691466802,0.0187134750369
HoxB2,-3.49883256519e-05,-1.15183782292e-05,1.75263963064e-05
HoxB4,-0.0313403342899,-0.0209619168968,-0.0157294529107
HoxD8,-9.69638138887e-07,-2.78286145861e-05,0.0
Ikaros,-0.024524671729,-0.0139688672968,-0.0126674008547
Itga2b,0.0721715545953,0.0347912837565,0.030642198216
Kdr,-0.00969976474831,-0.00832640897259,-0.00582321016864
Kit,0.01542073475,0.0100030318426,0.00161208220019
Ldb1,0.00172607391055,-6.42926800648e-05,-0.00102437456666
Lmo2,0.0107325423681,0.000759579698727,0.00431266721308
Lyl1,0.0147403896356,0.00933105214418,0.0104578508947
Mecom,0.0103459659892,0.0226239101261,0.0230592005681
Meis1,0.110378714609,0.0688877451331,0.0569568823566
Mitf,0.0049190732366,-0.00344862824776,0.00539966565273
Mrpl19,-1.07483203363e-05,-2.61724769698e-05,0.000207908362013
Myb,-0.0010822008037,0.00364431786008,-0.00651077919108
Nfe2,0.0152145239864,0.00868091398894,-0.00721076398076
Notch1,0.00191761743393,-0.00576015372249,-0.00764878589056
Pecam1,0.0295918942049,0.0116151933351,0.00312035964016
Polr2a,-0.000293719826357,-0.000532570770778,-0.000868158259187
Procr,0.0241914961589,-0.00155867499665,0.00504525409859
Runx1,-0.00547567653078,0.0002284477425,-0.00492668182224
Sfpi1,0.0485845271915,0.0365531847743,0.0435715257119
Sox17,0.00341018560899,0.00434403757804,0.0058303445601
Sox7,-0.0625320066871,-0.0748553071041,-0.0749487088143
Tal1,-0.00882582697362,-0.00868253247298,-0.00915925709718
Tbx20,-0.038464320946,-0.0333150086372,-0.0374157522588
Tbx3,-0.0713649616432,-0.0514147203858,-0.0403035523025
Ubc,2.66049798132e-05,0.000365939029762,0.000735614187308
