,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,-0.0019726252259,-0.00523569734688,-0.00761629509711
Cdh1,-0.0160091565907,-0.00580097188555,-0.00423249889454
Cdh5,0.0385319729622,0.0201481944549,0.0104870886342
Egfl7,0.00509218585266,-0.00330411245002,0.0112478033229
Eif2b1,7.56383916129e-05,0.000229754964647,0.000478672840273
Erg,0.0201408328936,0.00361886299832,-0.00454130075307
Ets1,-0.00561524665568,-0.00441882675112,-0.00706850422752
Ets2,0.00353918236231,0.00197584284179,-0.00294019541415
Etv2,0.000306379623708,0.00379474730193,0.0248163883893
Etv6,0.00256041156859,-0.00554319694573,0.0163376952449
Fli1,0.0129281820978,0.011679954064,0.00970087310488
FoxH1,-0.018181002486,-0.0203868521869,-0.0408001247253
FoxO4,-0.0025514487636,-0.00126711655188,-0.00708179762703
Gata1,-0.0200303037397,-0.00343739793058,-0.000358361421303
Gfi1,-0.00674990440531,-0.00273390849501,-0.000113129692242
Gfi1b,-0.0268430958582,-0.0021206560473,0.00364136137414
HbbbH1,-0.0384393041655,0.00396817715778,0.0178567179807
Hhex,0.000139712541807,0.00503792399704,0.0147058748638
HoxB2,1.58167205787e-05,3.4613566771e-05,6.2204265348e-05
HoxB4,0.0199200183436,0.00757617970986,0.00658104868451
HoxD8,1.54328958677e-05,6.12858384895e-06,4.88828736159e-06
Ikaros,-0.0373557471392,-0.0159018776407,-0.00802495430941
Itga2b,0.0247589960995,0.0152609795574,0.00997017000022
Kdr,-0.000225254181737,0.00704299188901,0.0229211542353
Kit,0.012719630297,-0.00221288746177,-0.00402926962097
Ldb1,-0.00656673301665,-0.0141023571604,-0.0354089548422
Lmo2,-0.00385673060761,-0.00309960879109,-0.00147957664913
Lyl1,0.0179464650295,0.00556502724318,0.00770481839367
Mecom,0.00535031423566,0.00904448038413,0.00620383778718
Meis1,0.0133651246628,-0.0233292937244,-0.0418011058829
Mitf,-0.0129723306186,-0.00487740870689,-0.010410223563
Mrpl19,0.000188893499895,0.000271141264232,0.000864989973863
Myb,-0.0332717967996,-0.00690632573449,0.0011456909787
Nfe2,-0.0210100261941,-0.000262075675567,0.0104359914173
Notch1,0.000259144211786,-0.00615796638181,-0.0114910843403
Pecam1,0.0244102724859,0.0133606371182,0.00132227410042
Polr2a,-0.000529405070831,-0.000857009181832,-0.00117037944198
Procr,0.00936453293096,0.000100445686144,0.00559808516675
Runx1,-0.00852017916708,-0.0053857887664,-0.0235513553895
Sfpi1,-0.0104990615873,-0.00340265294337,0.00111607755606
Sox17,0.018602799232,-0.0220210310417,-0.00958140793224
Sox7,-0.00679743134205,-0.00224501895625,0.0177672653849
Tal1,-0.00874849283882,-0.00648679798951,-0.0157185941019
Tbx20,-0.0183552684613,-0.0188361470611,-0.0176211455865
Tbx3,-0.00431786234479,-0.00665385621294,-0.0147474655923
Ubc,0.000344294957371,0.000452637616152,-9.21064261386e-05
